user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
6857762725658674178,6881619557530799362,Penjelasan Presiden RI Joko Widodo mengenai UU Cipta Kerja dan disinformasi yang beredar tentang UU tersebut #omnibuslaw #uuciptakerja #buruh,1602251913,"{'width': 1024, 'height': 576, 'ratio': 140, 'duration': 140}",['https://v16-web-newkey.tiktokcdn.com/8fbfd65fa9254569765c9f52f26846e5/5f841867/video/tos/alisg/tos-alisg-pve-0037c001/5a5fa8d5b82f44efabef1d497e12af16/?a=1988&br=964&bt=482&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=anQ0OGd1anM5eDMzMzgzM0ApMzQ1aDY1ODxlNzVlZjY1aWduX2VwY2ljai1fLS1hLzRzc2ExLzBeYTQtYV8yMDYvX2I6Yw%3D%3D&vl=&vr='],705100,167500,43700,10200000
6747578529527071745,6881398137332731137,bener ga ya? #iqbaalramadhan #omnibuslaw #fyp #foryou #viral #ampunbangjago,1602200360,"{'width': 540, 'height': 960, 'ratio': 13, 'duration': 13}",['https://v19-web-newkey.tiktokcdn.com/d0e0c984151bef1d6aa9e0289f4feca9/5f8417e8/video/tos/alisg/tos-alisg-pve-0037c001/a12ba490a4444b439894847189c8e879/?a=1988&br=3814&bt=1907&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=MzN0ZWYzNTp0dzMzNzgzM0ApZjs4NWk2Nzs5NzU2NWQzO2djbWVya2xyM3NfLS1eLzRzcy0yYC81YC1iNGIxNmMuMjY6Yw%3D%3D&vl=&vr='],715000,8808,2972,7700000
6576395916130254850,6881064981073300737,Detik ini Negara INDONESIA Negara PANCA SARA 🔥 #mositidakpercaya #beritaterkini #tiktokberita #dprrikhianatirakyat #fyp #viral #omnibuslaw,1602122793,"{'width': 576, 'height': 1024, 'ratio': 29, 'duration': 29}",['https://v16-web-newkey.tiktokcdn.com/5ff2133ccca925826633e458d20f68a9/5f8417f8/video/tos/alisg/tos-alisg-pve-0037c001/d803c6aec60f4e9db2765ed3294111ad/?a=1988&br=2008&bt=1004&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=amU6dGR1anE6dzMzNzgzM0ApZGZoZTs8NmQ2NzlmaTQ3O2dwajYuY2ljNHNfLS1gLzRzcy9fNC9gNi8uYDRfMWFjMS06Yw%3D%3D&vl=&vr='],670500,22600,6252,3800000
6771422529598653441,6881447409990372610,Thanks for 41K Epribadi #foryou #fyp #demo #omnibuslaw #foryoupage,1602211834,"{'width': 576, 'height': 1024, 'ratio': 10, 'duration': 10}",['https://v19-web-newkey.tiktokcdn.com/dce56b3a2b20ffd90dea5c968dd65330/5f8417e5/video/tos/alisg/tos-alisg-pve-0037c001/13d3718b622e4089b4aec58cd4671f3d/?a=1988&br=2298&bt=1149&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=amx4O2g1dnZ2dzMzNjgzM0ApaDNoNWhpZWRnNzk7NzgzaGctYmdgMGM0c3NfLS0vLzRzczQtMzUzNTVgMS4zL2A1NWI6Yw%3D%3D&vl=&vr='],688900,3864,12500,3500000
6857298612439876610,6881211297762004226,bengek #tolakruuciptakerja #mositidakpercaya #omnibuslaw #tolakomnibuslaw,1602156857,"{'width': 576, 'height': 1024, 'ratio': 21, 'duration': 21}",['https://v16-web-newkey.tiktokcdn.com/3a0935872d87ef42ee41e4a7260e6c89/5f8417f0/video/tos/alisg/tos-alisg-pve-0037c001/138b46c269b9443d8e567f0075f19e6c/?a=1988&br=2662&bt=1331&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2ppcGc7ZjppdzMzaTgzM0ApNmZnNmU2ZmQ5N2Q1NjQ7ZmdzL29tX3FoZnNfLS0vLzRzc14wYDE1Ml5eYWJjXzMwMGE6Yw%3D%3D&vl=&vr='],655400,21800,11300,3100000
6792189948994241538,6881440941878562049,#mositidakpercaya #tolakruuciptakerja #foryourpage #fypシ #foryou #fyp #omnibuslaw #berandagak #tolakomnibuslaw,1602210326,"{'width': 352, 'height': 640, 'ratio': 27, 'duration': 27}",['https://v16-web-newkey.tiktokcdn.com/072cc92042dbd19d218be25b701b2159/5f8417f6/video/tos/alisg/tos-alisg-pve-0037c001/e6c5e950d1344483aeb05a5447f562a4/?a=1988&br=1836&bt=918&cr=0&cs=0&dr=3&ds=1&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M3Q4M2g7Zjt2dzMzMzgzM0ApPDZoNGhpO2Q8Nzs4NThnN2dmLy81X3ExZnNfLS0tLzRzczRhYWNiXjQvYzBjMjFhMTE6Yw%3D%3D&vl=&vr='],672100,5700,3577,3700000
6803264983666099201,6881528266969074946,Gua ngapaim sih? #dpr #omnibuslaw #tolakomnimbuslaw #fyp,1602230659,"{'width': 540, 'height': 960, 'ratio': 25, 'duration': 25}",['https://v16-web-newkey.tiktokcdn.com/55e29a142cda037c72f39ec9326931d9/5f8417f4/video/tos/alisg/tos-alisg-pve-0037c001/a45b915c9887465bb8726f098c6eddf9/?a=1988&br=3046&bt=1523&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2w5N2dleHc0eDMzNjgzM0ApNmlmZTUzZjs5N2lnNjxmZmdec2drLW1kZi1fLS0vLzRzczZhXzQyYzIxYjU2LzVjXy86Yw%3D%3D&vl=&vr='],668900,13600,17000,4600000
6548319855677800450,6881458063182662913,#omnibuslaw #omnibuslawciptakerja #mositidakpercaya #foryoupage #pastiberanda #fyp #foryou #beranda,1602214314,"{'width': 576, 'height': 1024, 'ratio': 30, 'duration': 30}",['https://v16-web-newkey.tiktokcdn.com/cc8b6621f2e800a58598f7792ee6d363/5f8417f9/video/tos/alisg/tos-alisg-pve-0037c001/cf4a65110dd84e6f8c4ab079e3a915ef/?a=1988&br=1600&bt=800&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=MzszO2g1dm93dzMzNjgzM0ApaDxoNTdkM2U0N2YzOGdlaGcubmhgMGNzZnNfLS0vLzRzcy0tLzZhY2IuNC80XzZiMTE6Yw%3D%3D&vl=&vr='],625800,23400,15300,3500000
6748406874792772610,6881511316079529218,Balas @viral0012  Nih yang versi bapak DPR 😭😂 #omnibuslaw #mositidakpercaya #dpr #fyp #fy #fyi #foryou #foryoupage #beranda #berandatiktok #viral,1602226712,"{'width': 576, 'height': 1024, 'ratio': 16, 'duration': 16}",['https://v19-web-newkey.tiktokcdn.com/a62bd7538033fbcc96666d3dccc9d523/5f8417eb/video/tos/alisg/tos-alisg-pve-0037c001/21ab7c8fd6514b709b9bc97daa9d2e40/?a=1988&br=1678&bt=839&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=ajYzbXF0bzMzeDMzMzgzM0ApNGU1aWRpaGRoNzNoZGk7OWcxYmBsc2VwaC1fLS00LzRzczJeMTYvMi40MV8vMl40MTY6Yw%3D%3D&vl=&vr='],740900,15100,8759,10500000
6738306533253563394,6881331992831462658,Stay Safe💜#armybts #mositidakpercaya #omnibuslawciptakerja #omnibuslaw,1602184959,"{'width': 576, 'height': 1008, 'ratio': 12, 'duration': 12}",['https://v16-web-newkey.tiktokcdn.com/5a86afb56e4d6f8dc4fd8ae994f14a6a/5f8417e7/video/tos/alisg/tos-alisg-pve-0037c001/99c379ef62f94d6086078e2f49c80318/?a=1988&br=3888&bt=1944&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=ams8ZWYzNWpwdzMzNzgzM0ApZWRpaDRpOWRpN2U3PGU6Z2cxbGVya2wzYXNfLS1eLzRzczI2YmFjMGI0Li8tNDAuLjA6Yw%3D%3D&vl=&vr='],595200,24800,11100,2600000
6861839750992266241,6880864575043030274,Setelah melakukan Unjuk rasa & Orasi sampai rusuh. Melalui Wakil Ketua DPRD Purwakarta melakukan Penolakan UU Cipta Kerja. #tiktokberita #omnibuslaw,1602076130,"{'width': 576, 'height': 1024, 'ratio': 30, 'duration': 30}",['https://v16-web-newkey.tiktokcdn.com/c68b2965228d279d311e67046edb9abc/5f8417f9/video/tos/alisg/tos-alisg-pve-0037c001/30d0f1665a4a443da699631be1cf8fa9/?a=1988&br=1296&bt=648&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M247O2g1dm51dzMzNjgzM0ApOmQ2O2kzOjs1N2VmaDY4aWcyMmpgMGM0b3JfLS0vLzRzc2I2M2IwMzBgNWMuMzEwNjQ6Yw%3D%3D&vl=&vr='],547900,11500,9389,4400000
6723745500019753985,6881265563629292802,mantap ibu lanjutkan #fyp #tolakomnimbuslaw #tolakomnibuslaw #hidupmahasiswa #omnibuslaw #tolakruuciptakerja #tolakruukuhp #vivov20focusonyou #demo,1602169492,"{'width': 480, 'height': 848, 'ratio': 8, 'duration': 8}",['https://v16-web-newkey.tiktokcdn.com/5c67e8821c79e4a143df776fc5df2adc/5f8417e3/video/tos/alisg/tos-alisg-pve-0037c001/913e57c704c54259ba15d1f4fd4a4ed0/?a=1988&br=2078&bt=1039&cr=0&cs=0&dr=3&ds=2&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=MzxpM2g7ZjVsdzMzMzgzM0ApPDQ6Mzw6ZjxlN2U6MzY8ZmdlZi01X3ExaXNfLS0tLzRzc2MyYTAxLTNjMV4wMDFgYjA6Yw%3D%3D&vl=&vr='],543300,21000,10900,7400000
6519338089562128386,6880866118144118018,#cyber #hackerindonesia #hack #fyi #fyindonesia #viral #virall #ciptakerja #omnibuslawciptakerja #omnibuslaw,1602076489,"{'width': 576, 'height': 1024, 'ratio': 15, 'duration': 15}",['https://v19-web-newkey.tiktokcdn.com/5e9dd54d19c71480844009764708fca5/5f8417ea/video/tos/alisg/tos-alisg-pve-0037c001/396caae1e6cb43d0aa789ee578cb7da4/?a=1988&br=3136&bt=1568&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=ampmbXF0b2R1dzMzMzgzM0ApZmZlaDlmOGVoN2U5NTVmZ2deMWJsc2UxcnJfLS00LzRzczUvXy01MGNgXzQuM2EwMF46Yw%3D%3D&vl=&vr='],497900,3314,9788,3700000
6784142255387526146,6881233433549376770,kalo ada ibu2 lewat kasih jalan guys haha btw ibu2 nya bawa bebek guysss🤣  #tolakruuciptakerja #demo #omnibuslaw #menolaklupa #fyp #fypdongggggggg,1602162011,"{'width': 540, 'height': 960, 'ratio': 9, 'duration': 9}",['https://v19-web-newkey.tiktokcdn.com/7d3ab277ba9df786a65020017954613e/5f8417e4/video/tos/alisg/tos-alisg-pve-0037c001/abbd598639684664af493258a412aea5/?a=1988&br=4118&bt=2059&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=anY5OGd1am5qdzMzMzgzM0ApZDg3ODo5ZTs2N2RkOGY6aGdobmlwY2k0bnNfLS1hLzRzc180YC01Y2A0M2JfLi1iXjI6Yw%3D%3D&vl=&vr='],494800,7300,4434,7900000
6515316390642106370,6880509881590304001,punten bapak:) #indonesia #omnibuslaw #rakyatindonesia #fyp #berandafyp   #vivoV20FocusOnYou #WinWithASmile #MakeAFace,1601993546,"{'width': 544, 'height': 960, 'ratio': 20, 'duration': 20}",['https://v16-web-newkey.tiktokcdn.com/3408397fc074f29d34802556d3fd84c3/5f8417ef/video/tos/alisg/tos-alisg-pve-0037c001/ca7b55ebcbad40d69948e61954e1ca45/?a=1988&br=422&bt=211&cr=0&cs=0&cv=1&dr=3&ds=3&er=&l=202010120246190101890560343F00AB60&lr=tiktok&mime_type=video_mp4&qs=0&rc=M2g6Nzk1dms6dzMzMzgzM0ApOzc1PDw6Njs2NzxnOmZoaGdfNmRgMGNjanJfLS00LzRzcy1fYzJeMzExYDQyNjEtMjE6Yw%3D%3D&vl=&vr='],457800,4619,3538,2400000
